CodeRef;Code;trad_French;txt_cleaned;CodeGpt;ClaSon_raw_ens;ClaSon_conf_ens;TRUE_ClaSon;length_report;Valeur_Dream;Wake_Dream;Git_raw;Git_conf;ClaSon=Git;TRUE_Claude_Haiku 4.5;Gem;Gem_conf;TRUE_Gemini_Pro 3.1;SonnetGitCelia;SonnetGitCelia_conf;True_Claude_Sonnet 4.6;ClaSon=ClaGitCelia;Justif_compar_sonnet;Clas_Enzo;Confidence_Enzo;True_Human_expert;Justification_Enzo;Conf_Humanlike_ClaudeSonnetGitCelia;Enzo=Claude;conf claude erreur;True_Elce_Weight;;;Models;nmbr fautes;% de fautes ;moyenne conf;conf erreur;median erreur;median ;txt_length_errors;%Accuracy;;;;;;;;
DL010;;;Avendo dormito per gran parte del pomeriggio stavo pensando a come organizzare quello che mi resta in maniera efficiente, quindi cosa fare prima tra il rispondere ad alcune mail o l'iniziare a fare un lavoro che devo consegnare nei prossimi giorni o scrivere ad alcune persone a cui devo scrivere.;1;W;88;0;297;0;0;W;92;1;0;W;95;0;W;95;0;1;;;;;;5;;;0;;;ClaudeSonnetGitCelia3000;133;4,433333333;86,45548516;4,338345865;;;481,887218;95,56666667;;;;;;;;
XDL051;DL051;;"A casa mia, in villeggiatura diciamo, era arrivata una coppia di persone dall'estero, che però in qualche modo dovevamo conoscere, e v'avevano portato come valigie un sacco di valigie, tra cui una molto grande che, ehm, inizialmente sembrava molto pesante. C'erano altre due persone insieme a me ad accogliere queste due persone straniere dall'estero e una di queste ha detto: ""Dio bono com'è pesante questa valigia ma che c'era messo dentro"". Dopo io, curiosa, volevo sentire che cosa ci fosse dentro e, ehm, faccio per sollevarla e in realtà sento che non è per niente pesante, cioè non è niente di che, poi io mi aspettavo chissà che cosa, dopo tutti i loro discorsi. Però vado a pesare anche un'altra piccola valigia che era appoggiata sopra. Quella gli ho detto: ""Dio bono in confronto questa pesa una tonnellata, che è molto più piccola eppure pesa tanto, tantissimo"".";2;D;78;0;874;1;1;D;88;1;0;D;85;0;D;72;0;1;;;;;;2;;;0;;;Enzo;29;5,8;3,610337972;2;;;333,5862069;94,2;;;;;;;;
DL122;;;A casa di una mia amica, dove abbiamo pranzato e siamo stati bene, abbiamo giocato fino a poco fa a Tabù e in questo momento preciso provo un po' di malinconia per la giornata finita e per i pensieri riguardo le cose che dovrò fare le prossime settimane. Per il resto intorno a me è tutto molto silenzioso perché comunque nelle case vicino a questa non ci sono rumori da persone o macchine che passano. Sento solo la pioggia fuori dalla finestra, in questo momento. E tra poco salutiamo la mia amica che in questo momento sta parlando al telefono con sua madre. Questo è quello che c'è intorno a me.;3;W;97;0;599;0;0;W;90;1;0;W;95;0;W;93;0;1;;;;;;5;;;0;;;Elce;482;16,06666667;;;;;;83,93333333;;;;;;;;
XDL189;DL189;;La sensazione ancora un po' di scocciatura, di seccatura.;4;W;72;1;57;1;1;W;78;1;1;W;70;1;W;70;1;1;short;;;;;1;;;0;;;ClaudeHaiku;98;9,8;4,230256581;;;;;90,2;;;;;;;;
XDL036;DL036;;"Un concorso, un esame ehm, c'erano tutti i tavoli, messi distantissimi uno dall’altro, tipo concorso, no? Per non far copiare o, esame di stato, una roba così. E c'eravamo noi del [INSTITUTION1], ma varia gente a caso, senza un senso di base. Ehm, e niente, ed eravamo lì seduti, nessuno sapeva cosa stavamo facendo, eravamo lì, eravamo tipo: boh, perché? Cioè, ci guardavamo, c’era gente, eravamo particolarmente più confusi del solito. Era un campo e noi eravamo qui, lì, divisi, ehm. Boh, eravamo confusi, non sapevamo che cazzo stava per succedere, e basta. Ehm, c'era un appello, forse, a un certo punto. C'era qualcuno che chiamava dei nomi. C’era qualcuno che chiamava dei nomi, però erano nomi, boh inventati, nomi a caso, non erano i nostri. Infatti ci guardavamo tutti tipo:""ma chi è questa gente? Ma perché chiamano loro, se ci siamo qui noi?"". Poi a un certo punto ci siamo girate, eravamo io, [NAME1], [NAME2], [NAME3] e qualcun altro, comunque eravamo un gruppo che eravamo tipo quattro, cinque tavoli in fila, o comunque in un raggruppamento e ti giri per vedere se qualcuno alza la mano o roba del genere e ci siam girate e io vedo che questi tavoli che vanno lunghi fino all'orizzonte, come se non finissero mai. E era un'atmosfera un po' tipo da campo marziale Hunger Games, una roba del genere.";5;D;95;0;1313;1;1;D;95;1;0;D;80;0;D;82;0;1;;;;;;3;;;1;;;GeminiPro;43;8,6;;;;;;91,4;;;;;;;;
XDL199;DL199;;Mi trovavo in una città. Dovevo fare questo viaggio insieme a una persona. Era inverno perché avevamo il cappotto. Dovevamo trovare una sistemazione per la notte, entravamo in un albergo quattro stelle. Ero preoccupata perché io non avevo con me tanti soldi per poter pagare un albergo del genere. E provavo proprio la sensazione di fastidio di essere con questa persona. Era tutto nei toni del grigio, nessun colore in questa circostanza. C'era la nebbia, era proprio una sensazione brutta.;6;D;88;0;491;1;1;D;82;1;0;D;85;0;D;88;0;1;;;;;;4;;;0;;;ClaudeSonnetEnzo1112;46;4,132973944;87,23172906;82,17777778;82;90;;95,86702606;;;;;;;;
DL010;;;Ho finito lezione intorno alle cinque meno un quarto e poi mi sono addormentata per, diciamo mezz'ora, quaranta minuti per cui mi sono appena svegliata subito col pensiero delle cose che devo fare adesso, quindi devo mandare un'e-mail, devo vedere una persona in bishop, devo rispondere ad un'altra comunicazione e così via.;7;W;96;0;324;0;0;W;85;1;0;W;98;0;W;96;0;1;;;;;;5;;;0;;;sonnetGitCelia1112;44;3,953279425;85,8794964;83,02272727;85;88;;96,04672058;;;;;;;;
DL021;;;Ero impegnato in una conversazione con un mio amico milanese, anche lui ha fatto filosofia. E niente era una bella situazione, ero contento di sentirlo, abbiamo questo gioco noi, tipo un po' un gioco delle perle di vetro, nel senso che avevamo vari tipi di contenuti, e usiamo whatsapp come medium, quello che sentivo era come dire un grande affetto per lui, in realtà, faceva piacere sentirlo. E oltre a questo riflettevo sul modo chiaro di parlare della sua vita un po' come molto autentico un po' quasi come se fosse pensieri un po' da bambino no, molto, quei sentimenti che hai un po' da bambino, io, che io avevo da bambino, quantomeno, tipo, e citava che avevo questa sensazione di finitezza continua nei confronti della vita ed era un po' sempre malinconico. In generale si aveva questo senso di, come dire, una vita un po' non è mai all'altezza, non saprei come dire, non è mai completa, c’ho un po' l'idea che la vita sia sempre altra. E invece un po' sentivo tanta veramente tanta malinconia spirare da quello che diceva. Io gli ho raccontato un po' di come è qua la vita a [PLACE1] di cosa sto passando, in questo momento poi mi sento tanto stanco, e ancora caldo, ho bisogno di riposarmi ancora mi sento come se avessi ancora influenza. Quindi non uscirò, c'è non lo so, non voglio fare niente, me ne starò a letto forse, a pensare. Ho voglia solo di stare qua. Sento proprio un po' la fronte, il cocuzzolo della testa un po' dolorante e non è il caso comunque di fare cose, penso che in questi due giorni di sabato e domenica me li prenderò proprio per riposare e basta.;8;W;90;0;1583;0;0;W;88;1;0;W;90;0;W;74;0;1;;;;;;2;;;1;;;ClaudeSonnetGit2500-3000;30;6;4,237051793;4,213592233;;;477,4368932;94;;;;;;;;
DL079;;;Tutto quello che ho pensato riguardava il fatto che sono uscita con il mio ragazzo e siamo andati a giocare al bowling, e quindi essenzialmente mi sono molto divertita e sono stata bene ed ero tranquilla, non avevo pensieri particolarmente profondi, però, insomma, è stato molto divertente e quindi, ero abbastanza spensierata. Poi, ricordi, insomma, non saprei, principalmente, abbiamo riso, abbiamo scherzato insieme e quindi questo.;9;W;98;0;435;0;0;W;90;1;0;W;95;0;W;93;0;1;;;;;;5;;;0;;;;;;;;;;;;;;;;;;;
DL010;;;Stavo pensando a cosa fare la prossima settimana perché sarà il mio compleanno e io per il mio compleanno, sono sempre un po' in ansia, nel senso che non voglio mai organizzare niente perché poi mi sento a disagio, a meno che non sia proprio con gli amici storici con cui questo problema non si pone. Però diciamo che per esempio qui nel contesto del collegio mi sento sempre un po' a disagio a dire che il mio compleanno. Perché appunto non conosco tutti benissimo, non so mai a chi dirlo e a chi non dirlo. E quindi stavo pensando a come gestire la cosa la settimana prossima, cosa fare, cosa comprare, a chi dirlo, come festeggiare, e basta.;10;W;96;0;644;0;0;W;82;1;0;W;95;0;W;96;0;1;;;;;;5;;;1;;;;;;;;;;;;;;;;;;;
