Code;Txt_francais;D/W;Confiance;Justification
2500;2500 Je jouais à quelque chose qui ressemblait à un jeu vidéo ou je regardais un film, il y avait une immense carte et je me jetais à l'eau, je nageais énormément et je finissais hors de cette carte conceptuellement utilisable et ensuite je devais faire face à une série de dangers, de choses, mais elles étaient insurmontables donc c'était plutôt une fuite, tourner en rond, mais comme on le fait dans un jeu vidéo, ne pas réussir à surmonter un obstacle et donc tourner autour dans cette petite carte et faire des choses en m'ennuyant surtout. C'était comme des monstres, la carte était un quai, au début c'était moi qui nageais, donc il y a eu ce changement-là. C'était toujours la nuit, tout était sombre, je nageais. Puis à un certain moment ça s'est transformé directement en une expérience que je voyais de l'extérieur.;;;
2501;"2501 Je transcrivais un cours de neuropharmacologie, et donc j'essayais, en somme, de comprendre tous les différents mécanismes ; et je réfléchissais aussi au fait que, même aujourd'hui, comme bien d'autres fois, je me sens fatiguée sans raison valable, étant donné que j'ai dormi neuf heures, peut-être même plus, et donc, en somme, je réfléchissais à ça. Je pensais aussi au fait que ce soir il y aura un barbecue chez moi et donc j'ai hâte de manger, de me gaver.";;;
2502;2502 Je suis sur le lit, je me repose un peu. La classique sieste d'après-déjeuner, et j'écoute un podcast qui s'intitule « Ci vuole una scienza » (Il faut de la science). Donc, évidemment, il parle de sujets scientifiques, des nouveautés du point de vue de la recherche ou des sujets d'actualité, des fake news qui sont démenties, etc. Très intéressant. Et j'ai l'intention d'étudier un peu d'anglais, je vais faire au moins une révision, donc je pensais faire ça. Et ensuite je devrai sortir faire un peu de courses. Et je pense que je m'ennuie un peu parce qu'il pleut pratiquement, mais je dois le faire absolument parce que je n'ai rien à manger. Et pour l'instant je ne pensais à rien d'autre, je me repose simplement un peu.;;;
2503;2503 J'étais tranquille parce que j'étais chez un ami et nous parlions de tout et de rien, de tout ce qui nous était arrivé ces derniers jours, des choses professionnelles, de tout, et je me sentais très tranquille et insouciante.;;;
2504;2504 Je suis un peu pressée parce que je me suis rendu compte que j'avais énormément de choses à faire, que je n'ai pas réussi à faire. Ça me fait de la peine parce que la journée semble déjà terminée, mais j'aurais envie de faire encore pas mal de choses. Le problème c'est que ma journée est toujours décalée, donc en réalité quand je devrais sortir dîner, c'est le moment où je devrais travailler le plus. La chose est cependant assez incompatible avec d'autres activités de type plus social, etc. Et quoi qu'il en soit tout va bien, j'ai pas mal de pensées en tête. On verra un peu comment se passent les prochaines heures. Je pense avoir fait beaucoup d'erreurs et s'il y a un moyen d'y remédier. Et de toute façon mieux vaut ne pas trop se forcer, laisser aller et voir un peu comment les événements évoluent. Le problème c'est toujours l'attente, voilà. Donc j'ai pensé un peu à ça.;;;
2505;2505 J'étais dans mon supermarché préféré à fureter dans les rayons, pas du côté alimentation mais du côté bricolage et DIY. Et donc, voilà, j'étais très intéressée, curieuse et captivée par des objets qui peuvent améliorer la vie quotidienne. Chaque fois que j'entre dans des magasins de cette chaîne, j'éprouve toujours une sensation d'émerveillement et presque de bien-être.;;;
2506;2506 J'étais avec des personnes, j'étais avec une amie. Nous avons essayé de réserver la pizzeria pour ce soir, mais nous n'y sommes pas arrivées. Cependant, j'étais assez tranquille, assez contente. Aussi parce que la journée d'aujourd'hui a été assez productive, malgré le fait que c'était dimanche. Et voilà, c'est plus ou moins ça. Maintenant autour de moi je suis seule. Je suis passée une seconde à la salle d'étude, mais tout est tranquille. Enfin, rien de notable.;;;
2507;2507 Je suis un peu fatiguée, quelques pensées négatives m'accompagnent. On me propose de sortir, mais je n'en ai pas envie. C'est comme si je me sentais un peu apathique ces derniers temps.;;;
2508;2508 J'étais sur une scène au travail, différente cependant, aussi bien l'endroit où j'étais que la scène elle-même, et certaines des personnes étaient des collègues de mon lieu de travail. Sur la scène des gens se produisaient, j'étais derrière et je regardais, mais tout partait à vau-l'eau, c'était très amusant à voir.;;;
2509;2509 Des insectes, mais ce n'étaient pas vraiment des insectes, c'étaient de petites choses qui marchaient et qui me dégoûtaient assez. J'étais immobile et ces choses marchaient vers moi, toutes ces petites choses. Et c'est tout, et je sentais qu'elles me dégoûtaient.;;;
